id,name,category,score,fdc_id,usda_description,status
789e82c811eb0cf219bed32bccf162eb1aba,Erbse gruen (TK),Gemüse,0.0,,,api_error:HTTPError
e9953fbd06ae7c4e2b873429369546f014ae,Erdbeere,Obst,0.0,,,no_match
72407bdb4e51fe90c4bc61d34932e90b8769,Erdbeere (Bio),Obst,0.0,,,no_match
18bcedaa2d47cf70da30074d88b585a6a8d0,Erdbeere (frisch),Obst,0.0,,,no_match
0f4fdee8c73e1d2055bb0174aa6bcfed9b1a,Erdbeere (reif),Obst,0.0,,,api_error:HTTPError
f42036b5b4c1a6ed72a5fab479f58f1f9af1,Erdbeere (TK),Obst,0.0,,,api_error:HTTPError
259161d54b154a91a23c546ff1b275544ef7,Erdnuss,Nüsse,0.0,,,no_match
fc7d26e70d3e933a4a077af777845cdd2c87,Erdnussmus,Nüsse,0.0,,,no_match
7b5cf53d1d4136a0bc20b7898c030d22b497,Erdnussoel,Öle,0.0,,,no_match
387f292149428c5d0d2de9951963c30dd8e5,Feige,Obst,0.0,,,no_match
1f89f7d73f0d5fb6b781d332c6491f0b4cb0,Feige (Bio),Obst,0.0,,,no_match
84c3e81d025aeb5e55e84365cffc260b8166,Feige (frisch),Obst,0.0,,,no_match
c4beac4222c5e09d0ee2f625c66539bcd499,Feige (reif),Obst,0.0,,,api_error:HTTPError
1a5d0893e340bd312d835984b7e33e4ff01a,Feige (TK),Obst,0.0,,,no_match
9a4271d757f05d6e5467b09005bf8d76868e,Feldsalat,Gemüse,0.0,,,no_match
8cff451494175a7cfd91a509e392d9357ee4,Feldsalat (Bio),Gemüse,0.0,,,api_error:HTTPError
00818369dc0b8be49fd3dcb02f373679e2a0,Feldsalat (gedaempft),Gemüse,0.0,,,api_error:HTTPError
c82d80729e688862c70ae571a9e9275b8f22,Feldsalat (gekocht),Gemüse,0.0,,,api_error:HTTPError
39c185805aed0b7b9f7ea9da066ff448c3d6,Feldsalat (roh),Gemüse,0.0,,,no_match
39283fded840845dcee237b5cda4128d20e8,Feldsalat (TK),Gemüse,0.0,,,api_error:HTTPError
f4906ff240a36a84c851969e8eb182b89de1,Fenchel,Gemüse,0.0,,,no_match
dd34e887343be7bdd5c3faeeee7928982d53,Fenchel (Bio),Gemüse,0.0,,,no_match
5f863c1c8a13062c2e22951fc7251d8fd430,Fenchel (gedaempft),Gemüse,0.0,,,api_error:HTTPError
49aecfbcecfd3e33c445b6a96358ad8b9cf7,Fenchel (gekocht),Gemüse,0.0,,,api_error:HTTPError
9ce6793f8f037bd72c994f9af3eade2a8607,Fenchel (roh),Gemüse,0.0,,,api_error:HTTPError
cf31161002bde6ba67227b78b04cce9a66fb,Fenchel (TK),Gemüse,0.0,,,api_error:HTTPError
b14dcd524e307430e7603b8d3132ed684097,Feta,Käse,1.0,1944558,FETA,matched
cbcb4b838431a46ccba4888f3a37f8c68fe7,Fischstaebchen,Fisch,0.0,,,no_match
e7fedc16b66bc4423468d0fd454daaad0c0b,Flohsamenschalen,Samen,0.0,,,no_match
36366d6463cf7670764aae86301b4ca19e33,Forelle,Fisch,0.0,,,no_match
e3f1ed7479d41f3f2bb42d5d9ce59638fa0c,Frischkaese natur,Käse,0.0,,,no_match
5f52b218ffa46b01d6b885da7f8e4672cbcb,Fruehlingszwiebel,Gemüse,0.0,,,no_match
b0de9f0028cf30b1ad19440d188dfaad1644,Fruehlingszwiebel (Bio),Gemüse,0.0,,,no_match
9ad6994de40741a0ab2ab0e21a61a0620d8c,Fruehlingszwiebel (gedaempft),Gemüse,0.0,,,no_match
f60075165b6d5d026f98e4c39fb37c12ed27,Fruehlingszwiebel (gekocht),Gemüse,0.0,,,api_error:HTTPError
33c1980c1b668c5e977b62df10bf58db0f76,Fruehlingszwiebel (roh),Gemüse,0.0,,,api_error:HTTPError
9aa29262a4a5f45b0d9f93dd4bf8105f8051,Fruehlingszwiebel (TK),Gemüse,0.0,,,no_match
1640849a9f0bdb44712f0fa01d07551b21df,Fusilli,Getreide,1.0,2009395,FUSILLI,matched
96602e2314791991e050d7b10f998b1d8395,Gansfleisch,Fleisch,0.0,,,no_match
ea4f36808be94cadebb505129db932b9beae,Garnele,Fisch,0.0,,,no_match
c79b6b971e82471bb04e0c987e5b4f0e9978,Gerste,Getreide,0.0,,,no_match
82c40bcf76784ac9e13f56a80af0f684b1af,Gouda alt,Käse,0.3333,171241,"Cheese, gouda",weak_match
f47e05a9a07b9ffe6d50f6365f1433d2e786,Gouda jung,Käse,0.3333,171241,"Cheese, gouda",weak_match
b47f10712f1a92e7a366ec5e7927d12a6897,Granatapfel,Obst,0.0,,,no_match
793b7d048cf19209b7dcee7a1fe2ff6383a6,Granatapfel (Bio),Obst,0.0,,,no_match
8707a7309c9d5eff68ecc90e5f3d997f43ea,Granatapfel (frisch),Obst,0.0,,,no_match
0adeb3afa5044c9c9455c33cb6eb1a97e01e,Granatapfel (reif),Obst,0.0,,,api_error:HTTPError
f06e5c8679bf7eea72979c9941d3969ad8b4,Granatapfel (TK),Obst,0.0,,,no_match
a4117894de04155bad2cd39d9de8be12ebe9,Grapefruit,Obst,1.0,2156170,GRAPEFRUIT,matched
6b304072232e08cc3d49289e88c21ae2d501,Grapefruit (Bio),Obst,0.75,2709165,"Grapefruit, raw",matched
2a07bb747275737d64f180009f309e5e621c,Grapefruit (frisch),Obst,0.0,,,api_error:HTTPError
b0d46843b94e1a41418d336577041e0300d4,Grapefruit (reif),Obst,0.75,2709165,"Grapefruit, raw",matched
06723787f1fcd9fcad3337b2f19c65c2b225,Grapefruit (TK),Obst,0.75,2709165,"Grapefruit, raw",matched
f580102b5a6da96db7345a439f7af7504f2d,Griechischer Joghurt 10%,Joghurt,0.1111,172018,"Wheat flour, white (industrial), 10% protein, bleached, enriched",weak_match
39e7621c5574161a85e976851ba598a3125a,Griechischer Joghurt 2%,Joghurt,0.1429,2709364,"Baby Toddler apples, Stage 2",weak_match
e42822575f6277ab7860c968193532f3b0ed,Gruenkohl,Gemüse,0.0,,,no_match
6ee0d7c1798c591b303fa44048082c00dc6b,Gruenkohl (Bio),Gemüse,0.0,,,api_error:HTTPError
889ff69da43e6590bfd129e9a88621121eaa,Gruenkohl (gedaempft),Gemüse,0.0,,,no_match
d77167ac5075bde848226f87f73e69406582,Gruenkohl (gekocht),Gemüse,0.0,,,no_match
9f73df7ab8471bb39f23ca12532f884475e4,Gruenkohl (roh),Gemüse,0.0,,,no_match
5d0ab9247a94da30a263b55ccd849eb2b9fd,Gruenkohl (TK),Gemüse,0.0,,,no_match
2263c2e614dd55b7288e541d58501b62747f,Gruyere,Käse,0.7,2606965,"GRUYERE CHEESE, GRUYERE",matched
d8fcd684a4f8c146c96370c7217a99d9288e,Guave,Obst,0.0,,,no_match
549615068ea76cc52bdf20dd5bc804e53a07,Guave (Bio),Obst,0.0,,,api_error:HTTPError
ff9223d7396909e335baa9a612d1f25d59d2,Guave (frisch),Obst,0.0,,,api_error:HTTPError
32f4cf89fa4e97733a884650c13d83e100e7,Guave (reif),Obst,0.0,,,no_match
383b9c75cd3208689f68224f284f26ae6913,Guave (TK),Obst,0.0,,,no_match
6219cc070eaa719d206c6ca993b81d2dc2c5,Gurke,Gemüse,0.0,,,no_match
ff64eff0c5bb23209225423aadfa0e7dad20,Gurke (Bio),Gemüse,0.0,,,no_match
8ee21ccfd83db297f21eedc1c4ef752934fb,Gurke (gedaempft),Gemüse,0.0,,,no_match
dac01ceb3c97d7ed4537355bc3b7ba8b64ea,Gurke (gekocht),Gemüse,0.0,,,api_error:HTTPError
655430425efe2715215225a446d47e61a9b4,Gurke (roh),Gemüse,0.0,,,api_error:HTTPError
6d06b4e00375aefdeb1bc32518ea96e0d03a,Gurke (TK),Gemüse,0.0,,,api_error:HTTPError
19f8d2522fb94c4665421f6925ecebe5a872,Haehnchenbrust,Fleisch,0.0,,,no_match
3afc2c42bbb4d7093302151f43804df36ee8,Haehnchenbrust (gebraten),Fleisch,0.0,,,no_match
2ece770ccb2bec0c0ed260b3809b0ef176ad,Haehnchenbrust (gekocht),Fleisch,0.0,,,api_error:HTTPError
41541d2c2e1534fd51e0c4f0b3c227b2c22d,Haehnchenbrust (grillfertig),Fleisch,0.0,,,api_error:HTTPError
aa2cc0deb9a3f4e43a0f5052a994565dab23,Haehnchenbrust (mager),Fleisch,0.0,,,no_match
f72cc68b8d8353f9e19a10ac8d2599dcb8f2,Haehnchenbrust (roh),Fleisch,0.0,,,no_match
fabc1aeff8e6bfdaf28f3f79c1094cfc80e3,Haehnchenkeule,Fleisch,0.0,,,no_match
9e31286467e3ea449851c840bc22d552da9a,Haehnchenkeule (gebraten),Fleisch,0.0,,,api_error:HTTPError
9e1d3879679fafb532f784bf5ec61dac04b5,Haehnchenkeule (gekocht),Fleisch,0.0,,,api_error:HTTPError
19fe2ade94f4fcc5aa985d330003f583ebf0,Haehnchenkeule (grillfertig),Fleisch,0.0,,,api_error:HTTPError
e2a34041e01cfe2d34ee1b4ad30898646ca0,Haehnchenkeule (mager),Fleisch,0.0,,,api_error:HTTPError
23ab61abe3029cd6ac62269e9b8416de8681,Haehnchenkeule (roh),Fleisch,0.0,,,no_match
8d83a5907bc7eb979f18b20c859dd67cbb1b,Haferflocken,Getreide,0.0,,,no_match
6adaa06008788a118e931d324264a20daf53,Hagebutte,Obst,0.0,,,no_match
4af4301441833de787bfe6e79fc9caadc57c,Hagebutte (Bio),Obst,0.0,,,no_match
ad8976552bbf540a267cefc058d13e8d6e28,Hagebutte (frisch),Obst,0.0,,,no_match
48aa14e9772272076edd565a8023714cbf8f,Hagebutte (reif),Obst,0.0,,,api_error:HTTPError
1d929d60bc71e5e6a1aeea69eb23e47186ba,Hagebutte (TK),Obst,0.0,,,no_match
44d9b7e19f631affcf8a9a21011193dbf2a5,Halloumi,Käse,0.75,411202,HALLOUMI CHEESE,matched
9bd57f01631dc1a7d54cafbad87ca995ec6d,Hanfsamen,Samen,0.0,,,no_match
5efdb18888d614d3ad2f28cdf828c1b50d95,Hartweizengriess,Getreide,0.0,,,no_match
8babe00bbbf86799bfdf5f068d179aae8983,Harzer Kaese,Käse,0.0,,,no_match
2602a9194e95f5f1705e2c0399326160360d,Haselnuss,Nüsse,0.0,,,no_match
65a6ccfc0a5f3beed340a5c6c74254d98b4c,Heidelbeere,Obst,0.0,,,no_match
79d32d5f901f5951352d64b2e5308ebfb615,Heidelbeere (Bio),Obst,0.0,,,api_error:HTTPError
b4431fc9fdf5b6af291643930fe63d9625de,Heidelbeere (frisch),Obst,0.0,,,no_match
8b24b61edda7f8def9926899f2580fda47b6,Heidelbeere (reif),Obst,0.0,,,no_match
19a54156703516ccfeffe78b09273a7ec2d2,Heidelbeere (TK),Obst,0.0,,,api_error:HTTPError
8eb5cabd71351a0b4def817454a73ced1288,Heilbutt,Fisch,0.0,,,no_match
42758fba4736c3e26101c9553aeecdb88101,Hering,Fisch,0.0,,,no_match
e4805f5e1e29b2e2814941193d3f38f20828,Himbeere,Obst,0.0,,,no_match
39b1bb8a5bdeb6d6db5d499a71b76166db28,Himbeere (Bio),Obst,0.0,,,api_error:HTTPError
82c2d4be6db225c5261a2f7e958126b6a3c0,Himbeere (frisch),Obst,0.0,,,api_error:HTTPError
9635a9743699d842b2263130d7733651f77c,Himbeere (reif),Obst,0.0,,,api_error:HTTPError
93f68f2b2024278a59708190b4f946b29d49,Himbeere (TK),Obst,0.0,,,no_match
a215e071a3de6d26dc79da3a91a4fb94fbae,Hirschfleisch,Fleisch,0.0,,,no_match
b7bdb4ed3f0af0d387a5e19a2a7b2dc3c575,Hirse,Getreide,0.0,,,no_match
932846eef80e1c3450304f65cbd86e727809,Hirtenkaese,Käse,0.0,,,no_match
b696f637afbc7e4f58c681557f2e07cfe2ee,Honigmelone,Obst,0.0,,,no_match
631b29ba965c5d2556099ba623abb0b8b6e9,Honigmelone (Bio),Obst,0.0,,,api_error:HTTPError
3748d13b472f1791d0cceea377269c210409,Honigmelone (frisch),Obst,0.0,,,api_error:HTTPError
32116b5b277a54187a591bc4ff87f8155239,Honigmelone (reif),Obst,0.0,,,no_match
93cd1e31ef4862e82da8030287821a92a487,Honigmelone (TK),Obst,0.0,,,api_error:HTTPError
a5969eb83f8c30f4fb7a53bbeafbdfa5dbac,Huehnchenherz,Fleisch,0.0,,,no_match
a95c457a17592f80aceb0052292a277b4ca3,Hüttenkäse,Käse,0.0,,,no_match
1aa609591feb0c138ab9b4662e5fff66c93d,Ingwerpulver,Gewürze,0.0,,,no_match
afa91f46c940a5789b314fbe4e3110e78994,Instant Oats,Getreide,1.0,2173546,INSTANT OATS,matched
7c9fc127a3f6eee368987a09f608bf0104f1,Jakobsmuschel,Fisch,0.0,,,no_match
54300b3ddac29756930c7a30887df8088719,Jasminreis,Getreide,0.0,,,no_match
fa673aede3d14dd82b9d8ad5f0c2b04abba0,Joghurt Erdbeere,Joghurt,0.0,,,no_match
55e3a4747877efe884ccc150db614f6be749,Joghurt natur 1.5%,Joghurt,0.1538,170866,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",weak_match
eeebacc8267c10117fd95952574bc6550996,Joghurt natur 3.5%,Joghurt,0.1722,2581637,"VALUED NATURALS BANANA CHIPS, 3.5 OZ",weak_match
0ac1fc3271e028ff86a9c016f4d60d01c144,Joghurt Vanille,Joghurt,0.075,2124154,"CRISPY WAFERS FILLED WITH VANILLA CREAM, VANILLE",weak_match
03e2f5c8cc8480df364a7b7e63a93aa8c0c7,Johannisbeere,Obst,0.0,,,no_match
d175db02fcb3cab6668280bfcd33b4d2452c,Johannisbeere (Bio),Obst,0.0,,,no_match
2a4eae5946c1779e1690753873c0099ecab9,Johannisbeere (frisch),Obst,0.0,,,api_error:HTTPError
e76e54f485011b0bbe451abd798494a47bf4,Johannisbeere (reif),Obst,0.0,,,no_match
8ef7c6e9b85c41d13b6f6ee84158d26fa433,Johannisbeere (TK),Obst,0.0,,,api_error:HTTPError
4cb05830725d560cc6f1494d98fdfbe7bf83,Kabeljau,Fisch,0.0,,,no_match
9c504989237edaa9e72143198898b22323b2,Kakaopulver,Gewürze,0.0,,,no_match
b73cf67e5193acd14bd3991c78b18a300fa2,Kaki,Obst,0.4,2673991,KAKI NO TANE CHILI BITS,weak_match
